wkt_geom	tid	big_slope	curvature	width_change
Polygon ((192030 442395, 192035 442395, 192035 442390, 192030 442390, 192030 442395))	35284	-0.01751711778342724	-0.01325998269021511	-0.01922735571861267
Polygon ((192030 442400, 192035 442400, 192035 442395, 192030 442395, 192030 442400))	35285	0.005626210477203131	0.006672020070254803	-0.00649760477244854
Polygon ((192030 442405, 192035 442405, 192035 442400, 192030 442400, 192030 442405))	35286	0.029087048023939133	-0.006119975820183754	-0.006273948587477207
Polygon ((192030 442410, 192035 442410, 192035 442405, 192030 442405, 192030 442410))	35287	0.029476186260581017	0	-0.012461811304092407
Polygon ((192030 442360, 192035 442360, 192035 442355, 192030 442355, 192030 442360))	35288	0.03605727106332779	-0.0012400245759636164	-0.05302126705646515
Polygon ((192030 442365, 192035 442365, 192035 442360, 192030 442360, 192030 442365))	35289	0.04264305531978607	-6.0024260164937004e-05	-0.05723369121551514
Polygon ((192030 442370, 192035 442370, 192035 442365, 192030 442365, 192030 442370))	35290	0.022285234183073044	0.00732004176825285	-0.05458390712738037
Polygon ((192030 442375, 192035 442375, 192035 442370, 192030 442370, 192030 442375))	35291	-0.018276406452059746	-0.008012027479708195	-0.03990178927779198
Polygon ((192035 442375, 192040 442375, 192040 442370, 192035 442370, 192035 442375))	35293	-0.030637089163064957	-0.013759994879364967	-0.08579512685537338
Polygon ((192035 442385, 192040 442385, 192040 442380, 192035 442380, 192035 442385))	35295	-0.043926212936639786	-0.0013880347833037376	-0.0487394705414772
Polygon ((192035 442390, 192040 442390, 192040 442385, 192035 442385, 192035 442390))	35296	-0.03468947857618332	-0.00621999753639102	-0.03650980815291405
Polygon ((192035 442395, 192040 442395, 192040 442390, 192035 442390, 192035 442395))	35297	-0.010878834873437881	-0.0005800056387670338	-0.02276628650724888
Polygon ((192035 442400, 192040 442400, 192040 442395, 192035 442395, 192035 442400))	35298	0.014525572769343853	0.0002640151942614466	-0.012711627408862114
Polygon ((192035 442405, 192040 442405, 192040 442400, 192035 442400, 192035 442405))	35299	0.02718680165708065	-0.0017480087699368596	0.0017745787044987082
Polygon ((192040 442405, 192045 442405, 192045 442400, 192040 442400, 192040 442405))	35300	0.024875951930880547	0	-0.005516244098544121
Polygon ((192035 442355, 192040 442355, 192040 442350, 192035 442350, 192035 442355))	35301	0.03203672170639038	0	-0.04883069917559624
Polygon ((192035 442360, 192040 442360, 192040 442355, 192035 442355, 192035 442360))	35302	0.04023168236017227	-0.004199962597340345	-0.0462980642914772
Polygon ((192035 442365, 192040 442365, 192040 442360, 192035 442360, 192035 442365))	35303	0.03204508125782013	0.001912021660245955	-0.07324294000864029
Polygon ((192035 442370, 192040 442370, 192040 442365, 192035 442365, 192035 442370))	35304	0.004617863800376654	0.00683998130261898	-0.08841466903686523
Polygon ((192100 442315, 192105 442315, 192105 442310, 192100 442310, 192100 442315))	35305	0.04269380494952202	0.0053999898955225945	-0.04649835452437401
Polygon ((192100 442320, 192105 442320, 192105 442315, 192100 442315, 192100 442320))	35306	0.05513577163219452	-0.009403953328728676	-0.009457413107156754
Polygon ((192100 442325, 192105 442325, 192105 442320, 192100 442320, 192100 442325))	35307	0.035099394619464874	0.000759983086027205	0.04702389985322952
Polygon ((192100 442330, 192105 442330, 192105 442325, 192100 442325, 192100 442330))	35308	0.0042695761658251286	0.014267978258430958	0.06540201604366302
Polygon ((192100 442335, 192105 442335, 192105 442330, 192100 442330, 192100 442335))	35309	-0.015132344327867031	-0.008564013987779617	0.11268840730190277
Polygon ((192105 442345, 192110 442345, 192110 442340, 192105 442340, 192105 442345))	35311	-0.035404935479164124	-0.001800002995878458	0.08989027887582779
Polygon ((192105 442350, 192110 442350, 192110 442345, 192105 442345, 192105 442350))	35312	-0.036449890583753586	-0.0016880035400390625	0.10387901216745377
Polygon ((192105 442355, 192110 442355, 192110 442350, 192105 442350, 192105 442355))	35313	-0.031491391360759735	-0.00789596512913704	0.13172471523284912
Polygon ((192105 442360, 192110 442360, 192110 442355, 192105 442355, 192105 442360))	35314	-0.016444772481918335	0.01097999606281519	0.12395457178354263
Polygon ((192105 442365, 192110 442365, 192110 442360, 192105 442360, 192105 442365))	35315	0.013145124539732933	-0.006528015248477459	0.08208567649126053
Polygon ((192105 442370, 192110 442370, 192110 442365, 192105 442365, 192105 442370))	35316	0.02537689544260502	-0.014872017316520214	0.03966331481933594
Polygon ((192105 442310, 192110 442310, 192110 442305, 192105 442305, 192105 442310))	35317	0.03295041248202324	0	-0.11594308912754059
Polygon ((192105 442315, 192110 442315, 192110 442310, 192105 442310, 192105 442315))	35318	0.05154264718294144	-0.00623599998652935	-0.10070745646953583
Polygon ((192105 442320, 192110 442320, 192110 442315, 192105 442315, 192105 442320))	35319	0.05103948339819908	-0.0014440346276387572	-0.06662756949663162
Polygon ((192105 442325, 192110 442325, 192110 442320, 192105 442320, 192105 442325))	35320	0.02491290681064129	0.005459976382553577	-0.010836295783519745
Polygon ((192105 442330, 192110 442330, 192110 442325, 192105 442325, 192105 442330))	35321	-0.009685589000582695	0.00231203087605536	0.027235224843025208
