tid,slope,roughness,bed_level_x,aspect,bed_level_y,change,change_norm,predicted_target_norm,predicted_target
36586,0.9759,0.0008,6.7716,359.131,6.8118,0.04019999999999957,0.23244402922681712,0.3128246,0.046816763
36587,4.6686,0.0041,6.8432,228.296,6.81,-0.033200000000000784,-0.659220894842064,-0.16787603,0.007246486
36588,3.9634,0.005,7.0323,232.452,7.0064,-0.025900000000000034,-0.5705403233747143,-0.23469852,0.0017457977
36589,6.3629,0.0079,7.3102,228.745,7.3353,0.025100000000000122,0.0490088745478042,-0.42337817,-0.013785919
36591,1.7449,0.0012,7.6987,341.45,7.7982,0.09949999999999992,0.9528218221053555,0.07714474,0.027416086
36592,2.5693,0.0024,6.6848,236.814,6.7562,0.07139999999999969,0.6114623620735347,-0.04035276,0.017743936
36593,1.2177,0.0015,6.7366,219.586,6.7925,0.05590000000000028,0.4231679979990516,0.097365215,0.029080594
36594,0.9992,0.001,6.7324,243.657,6.7761,0.043699999999999406,0.2749621114371839,0.18271454,0.03610637
36595,0.9802,0.0009,6.7495,272.062,6.7864,0.036900000000000155,0.1923555517141908,0.20800863,0.03818853
36596,1.2339,0.0011,6.7302,248.025,6.7628,0.032600000000000406,0.14011905071288364,0.15683217,0.03397579
36597,2.8743,0.0023,6.7803,274.482,6.7549,-0.02540000000000031,-0.5644663116303793,-0.017414942,0.019632129
36598,2.232,0.002,6.7299,343.707,6.7436,0.013700000000000045,-0.08947859322311222,0.112430006,0.030320697
36599,2.9183,0.0025,6.7281,226.89,6.7395,0.011399999999999189,-0.11741904724707927,-0.059670687,0.016153725
36601,1.7011,0.0016,7.7189,13.4288,7.7293,0.010400000000000631,-0.12956707073573853,0.17777143,0.035699468
36602,2.0922,0.0025,7.5766,22.7333,7.5687,-0.00790000000000024,-0.3518759005785345,0.05419287,0.025526736
36603,7.1198,0.0084,7.3361,29.6165,7.3167,-0.019400000000000084,-0.4915781706983158,-0.3943972,-0.011400266
36604,11.1483,0.0103,6.6553,37.3726,6.7722,0.11689999999999934,1.1641974308083247,-0.57231104,-0.026045764
36605,4.0145,0.0045,6.6173,230.442,6.7236,0.10630000000000006,1.0354283818283594,-0.14708526,0.008957939
36606,2.0255,0.0017,6.7972,298.491,6.7793,-0.017900000000000027,-0.47335613546529987,0.0864663,0.028183417
36607,2.292,0.0022,6.7508,277.534,6.7717,0.02090000000000014,-0.002012824104638124,0.008270472,0.0217465
36608,3.6899,0.0027,6.7916,239.509,6.7798,-0.011800000000000033,-0.39925319218437144,-0.07652226,0.0147665385
36609,4.6648,0.0043,6.8255,235.242,6.8045,-0.020999999999999908,-0.5110150082801965,-0.17324246,0.0068047326
36610,5.4651,0.0069,7.0767,231.947,7.0475,-0.02919999999999945,-0.6106288008873406,-0.341343,-0.007032953
36611,7.4399,0.0089,7.4406,228.299,7.4194,-0.02119999999999944,-0.5134446129779262,-0.50627357,-0.020609694
36612,4.7931,0.0059,7.1892,43.7929,7.1889,-0.0002999999999993008,-0.25955092206457947,-0.18630923,0.0057291035
36613,6.6324,0.0064,6.8041,51.9167,6.8785,0.0743999999999998,0.6479064325395665,-0.22764586,0.002326358
36614,1.1376,0.0018,6.7351,64.1201,6.7933,0.05820000000000025,0.4511084520230078,0.26486897,0.042869154
36615,0.9229,0.0008,6.7291,111.802,6.7667,0.0376000000000003,0.20085916815626634,0.40182936,0.05414345
36616,1.5384,0.0011,6.7369,195.841,6.7868,0.049900000000000055,0.35027985706698794,0.13772905,0.03240326
36617,1.1498,0.001,6.7344,264.759,6.773,0.038599999999999746,0.2130071916449364,0.18228915,0.036071356
36618,2.1253,0.0016,6.7396,322.772,6.7644,0.024799999999999933,0.045364467501198866,0.12982768,0.031752836
36619,1.6761,0.0015,6.717,305.093,6.7461,0.02910000000000057,0.09760096850251683,0.1447269,0.03297931
36621,1.7323,0.0014,7.605,345.772,7.799,0.19399999999999995,2.100810041785313,0.06510615,0.026425095
36622,1.7995,0.0017,7.5078,357.25,7.6136,0.10580000000000034,1.0293543700840244,0.05344969,0.02546556
36623,1.5305,0.0018,7.3546,15.9728,7.3751,0.020500000000000185,-0.006872033500108308,0.17558897,0.03551981
36624,1.2694,0.001,6.7307,117.083,6.7652,0.03450000000000042,0.1632002953413697,0.33096677,0.048310187
36625,1.3929,0.0014,6.729,215.782,6.7512,0.022199999999999775,0.013779606430637276,0.095218256,0.02890386
36626,2.4481,0.002,6.7768,318.7,6.744,-0.03279999999999994,-0.6543616854465831,0.06477533,0.026397862
36627,2.2566,0.0018,6.7095,338.769,6.7477,0.03819999999999979,0.2081479822494662,0.12820753,0.03161947
36628,2.8346,0.0024,6.7359,227.06,6.7449,0.009000000000000341,-0.14657430361988957,-0.05498898,0.016539114
36629,4.0356,0.0038,6.8397,229.633,6.7886,-0.05109999999999992,-0.8766705152893682,-0.14778498,0.00890034
36630,3.1063,0.0042,6.9939,227.214,6.9614,-0.03249999999999975,-0.6507172783999777,-0.18121727,0.006148263
36631,6.4808,0.0077,7.2726,225.211,7.3155,0.04290000000000038,0.26524369264625436,-0.4110692,-0.01277267
36632,1.7484,0.0018,7.6297,8.0017,7.6978,0.06810000000000027,0.5713738845609083,0.14164032,0.03272523
